N;P_flare;Q_flare;P_purge;Q_purge;T_flame;Steam_Q;otriv;hlopok
1;0.008;2.1;0.45;38;1050;120;0;0
2;0.009;2.3;0.44;37;1045;118;0;0
3;0.007;1.9;0.42;35;1030;115;0;0
4;0.011;3.2;0.40;31;990;110;0;0
5;0.015;5.8;0.35;26;910;105;0;0
6;0.018;8.1;0.28;19;750;90;1;0
7;0.022;9.5;0.22;14;600;80;1;1
8;0.012;4.0;0.38;28;940;108;0;0
9;0.009;2.0;0.44;36;1020;116;0;0
10;0.020;7.2;0.25;17;700;85;1;0
11;0.006;1.5;0.48;42;1080;125;0;0
12;0.008;2.2;0.46;39;1060;122;0;0
13;0.010;2.8;0.43;36;1010;112;0;0
14;0.013;4.5;0.37;27;930;107;0;0
15;0.016;6.2;0.32;23;860;100;0;0
16;0.019;8.8;0.26;16;650;85;1;1
17;0.024;10.5;0.20;11;520;70;1;1
18;0.014;5.0;0.36;26;920;106;0;0
19;0.011;3.0;0.41;32;980;109;0;0
20;0.017;7.0;0.30;20;780;95;1;0
21;0.005;1.2;0.50;45;1100;130;0;0
22;0.007;1.8;0.47;40;1070;123;0;0
23;0.009;2.5;0.44;37;1040;119;0;0
24;0.012;3.8;0.39;29;960;110;0;0
25;0.015;5.5;0.34;25;890;104;0;0
26;0.018;7.5;0.27;18;720;88;1;0
27;0.021;9.0;0.23;13;580;75;1;1
28;0.023;10.0;0.18;10;480;65;1;1
29;0.010;2.7;0.42;34;1000;113;0;0
30;0.013;4.2;0.38;28;940;108;0;0
31;0.008;2.0;0.45;38;1055;121;0;0
32;0.006;1.4;0.49;43;1090;127;0;0
33;0.009;2.4;0.43;36;1035;117;0;0
34;0.011;3.1;0.40;31;985;111;0;0
35;0.014;4.8;0.36;26;920;106;0;0
36;0.017;6.5;0.31;22;840;99;0;0
37;0.019;7.8;0.25;16;680;86;1;0
38;0.022;8.5;0.21;12;550;72;1;1
39;0.025;9.8;0.16;9;430;60;1;1
40;0.012;3.5;0.39;29;955;110;0;0
41;0.007;1.7;0.46;39;1065;122;0;0
42;0.010;2.6;0.44;37;1015;114;0;0
43;0.013;4.1;0.37;27;935;107;0;0
44;0.016;5.9;0.32;23;855;100;0;0
45;0.018;7.2;0.26;17;690;87;1;0
46;0.020;8.0;0.22;13;570;74;1;1
47;0.014;4.4;0.35;25;910;105;0;0
48;0.009;2.2;0.43;36;1030;116;0;0
49;0.006;1.3;0.48;42;1085;126;0;0
50;0.008;1.9;0.47;41;1060;123;0;0
51;0.011;3.0;0.41;32;990;112;0;0
52;0.015;5.2;0.33;24;870;102;0;0
53;0.017;6.8;0.28;19;740;90;1;0
54;0.021;8.2;0.22;12;560;73;1;1
55;0.023;9.2;0.19;10;490;66;1;1
56;0.010;2.9;0.42;33;995;113;0;0
57;0.012;3.6;0.38;28;945;109;0;0
58;0.005;1.1;0.50;44;1105;131;0;0
59;0.007;1.6;0.46;40;1060;122;0;0
60;0.009;2.3;0.44;37;1035;118;0;0
61;0.013;4.0;0.37;27;930;107;0;0
62;0.016;6.1;0.32;23;850;100;0;0
63;0.019;7.5;0.27;18;710;89;1;0
64;0.022;9.1;0.23;14;590;76;1;1
65;0.024;10.2;0.17;8;450;62;1;1
66;0.011;3.3;0.40;31;980;111;0;0
67;0.008;2.1;0.45;38;1050;120;0;0
68;0.006;1.5;0.49;43;1095;128;0;0
69;0.010;2.7;0.43;36;1010;114;0;0
70;0.014;4.7;0.35;25;915;105;0;0
71;0.017;6.6;0.30;21;830;98;0;0
72;0.020;7.9;0.25;16;670;86;1;0
73;0.023;9.3;0.20;11;540;71;1;1
74;0.012;3.7;0.39;29;950;110;0;0
75;0.009;2.4;0.43;36;1030;117;0;0
76;0.007;1.8;0.47;41;1065;123;0;0
77;0.005;1.2;0.50;44;1100;130;0;0
78;0.011;3.1;0.41;32;985;112;0;0
79;0.015;5.4;0.34;25;880;103;0;0
80;0.018;7.1;0.28;19;730;90;1;0
81;0.021;8.6;0.23;14;570;74;1;1
82;0.013;4.2;0.37;27;935;108;0;0
83;0.010;2.8;0.42;34;1000;113;0;0
84;0.008;2.0;0.45;38;1055;121;0;0
85;0.016;6.0;0.32;23;850;100;0;0
86;0.019;7.4;0.27;17;700;88;1;0
87;0.022;8.9;0.22;12;560;73;1;1
88;0.025;10.1;0.18;9;470;64;1;1
89;0.012;3.4;0.39;29;960;110;0;0
90;0.014;4.5;0.36;26;925;106;0;0
91;0.009;2.2;0.44;37;1040;119;0;0
92;0.006;1.4;0.48;42;1085;126;0;0
93;0.011;3.2;0.41;31;990;112;0;0
94;0.017;6.3;0.31;22;835;99;0;0
95;0.019;7.6;0.26;17;685;87;1;0
96;0.021;8.4;0.24;15;610;78;1;1
97;0.024;9.6;0.20;11;530;71;1;1
98;0.010;2.5;0.43;36;1020;115;0;0
99;0.013;3.9;0.38;28;940;108;0;0
100;0.005;1.0;0.51;46;1110;132;0;0
